Niveluri de instruire, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Dolj, Anul 2014, Numar persoane, 2898
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Dolj, Anul 2015, Numar persoane, 2604
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Dolj, Anul 2016, Numar persoane, 2543
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Dolj, Anul 2017, Numar persoane, 2490
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Gorj, Anul 2013, Numar persoane, 1952
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Gorj, Anul 2014, Numar persoane, 1962
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Gorj, Anul 2015, Numar persoane, 1831
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Gorj, Anul 2016, Numar persoane, 1719
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Gorj, Anul 2017, Numar persoane, 1727
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Mehedinti, Anul 2013, Numar persoane, 1245
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Mehedinti, Anul 2014, Numar persoane, 1225
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Mehedinti, Anul 2015, Numar persoane, 1173
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Mehedinti, Anul 2016, Numar persoane, 1095
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Mehedinti, Anul 2017, Numar persoane, 1062
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Olt, Anul 2013, Numar persoane, 2155
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Olt, Anul 2014, Numar persoane, 2215
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Olt, Anul 2015, Numar persoane, 2049
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Olt, Anul 2016, Numar persoane, 1779
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Olt, Anul 2017, Numar persoane, 1874
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Valcea, Anul 2013, Numar persoane, 1852
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Valcea, Anul 2014, Numar persoane, 1816
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Valcea, Anul 2015, Numar persoane, 1724
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Valcea, Anul 2016, Numar persoane, 1606
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Valcea, Anul 2017, Numar persoane, 1642
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Regiunea VEST, Anul 2013, Numar persoane, 7744
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Regiunea VEST, Anul 2014, Numar persoane, 7870
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Regiunea VEST, Anul 2015, Numar persoane, 7435
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Regiunea VEST, Anul 2016, Numar persoane, 7101
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Regiunea VEST, Anul 2017, Numar persoane, 7245
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Arad, Anul 2013, Numar persoane, 1900
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Arad, Anul 2014, Numar persoane, 1942
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Arad, Anul 2015, Numar persoane, 1799
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Arad, Anul 2016, Numar persoane, 1739
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Arad, Anul 2017, Numar persoane, 1810
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Caras-Severin, Anul 2013, Numar persoane, 1262
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Caras-Severin, Anul 2014, Numar persoane, 1340
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Caras-Severin, Anul 2015, Numar persoane, 1209
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Caras-Severin, Anul 2016, Numar persoane, 1167
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Caras-Severin, Anul 2017, Numar persoane, 1132
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Hunedoara, Anul 2013, Numar persoane, 1856
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Hunedoara, Anul 2014, Numar persoane, 1868
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Hunedoara, Anul 2015, Numar persoane, 1794
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Hunedoara, Anul 2016, Numar persoane, 1687
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Hunedoara, Anul 2017, Numar persoane, 1680
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Timis, Anul 2013, Numar persoane, 2726
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Timis, Anul 2014, Numar persoane, 2720
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Timis, Anul 2015, Numar persoane, 2633
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Timis, Anul 2016, Numar persoane, 2508
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Masculin, Timis, Anul 2017, Numar persoane, 2623
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, TOTAL, Anul 2013, Numar persoane, 89731
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, TOTAL, Anul 2014, Numar persoane, 90722
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, TOTAL, Anul 2015, Numar persoane, 86948
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, TOTAL, Anul 2016, Numar persoane, 83196
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, TOTAL, Anul 2017, Numar persoane, 83526
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bihor, Anul 2013, Numar persoane, 2647
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bihor, Anul 2014, Numar persoane, 2619
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bihor, Anul 2015, Numar persoane, 2588
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bihor, Anul 2016, Numar persoane, 2479
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bihor, Anul 2017, Numar persoane, 2421
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bistrita-Nasaud, Anul 2013, Numar persoane, 1558
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bistrita-Nasaud, Anul 2014, Numar persoane, 1610
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bistrita-Nasaud, Anul 2015, Numar persoane, 1433
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bistrita-Nasaud, Anul 2016, Numar persoane, 1414
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bistrita-Nasaud, Anul 2017, Numar persoane, 1478
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Cluj, Anul 2013, Numar persoane, 2480
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Cluj, Anul 2014, Numar persoane, 2535
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Cluj, Anul 2015, Numar persoane, 2388
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Cluj, Anul 2016, Numar persoane, 2330
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Cluj, Anul 2017, Numar persoane, 2420
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Maramures, Anul 2013, Numar persoane, 2289
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Maramures, Anul 2014, Numar persoane, 2327
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Maramures, Anul 2015, Numar persoane, 2212
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Maramures, Anul 2016, Numar persoane, 2044
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Maramures, Anul 2017, Numar persoane, 2094
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Satu Mare, Anul 2013, Numar persoane, 1590
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Satu Mare, Anul 2014, Numar persoane, 1579
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Satu Mare, Anul 2015, Numar persoane, 1483
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Satu Mare, Anul 2016, Numar persoane, 1532
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Satu Mare, Anul 2017, Numar persoane, 1465
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Salaj, Anul 2013, Numar persoane, 1132
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Salaj, Anul 2014, Numar persoane, 1142
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Salaj, Anul 2015, Numar persoane, 1120
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Salaj, Anul 2016, Numar persoane, 1033
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Salaj, Anul 2017, Numar persoane, 1014
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Alba, Anul 2013, Numar persoane, 1622
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Alba, Anul 2014, Numar persoane, 1509
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Alba, Anul 2015, Numar persoane, 1428
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Alba, Anul 2016, Numar persoane, 1388
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Alba, Anul 2017, Numar persoane, 1486
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Brasov, Anul 2013, Numar persoane, 1983
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Brasov, Anul 2014, Numar persoane, 2043
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Brasov, Anul 2015, Numar persoane, 2074
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Brasov, Anul 2016, Numar persoane, 2061
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Brasov, Anul 2017, Numar persoane, 2163
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Covasna, Anul 2013, Numar persoane, 926
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Covasna, Anul 2014, Numar persoane, 955
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Covasna, Anul 2015, Numar persoane, 909
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Covasna, Anul 2016, Numar persoane, 875
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Covasna, Anul 2017, Numar persoane, 848
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Harghita, Anul 2013, Numar persoane, 1461
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Harghita, Anul 2014, Numar persoane, 1483
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Harghita, Anul 2015, Numar persoane, 1497
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Harghita, Anul 2016, Numar persoane, 1431
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Harghita, Anul 2017, Numar persoane, 1367
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mures, Anul 2013, Numar persoane, 2401
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mures, Anul 2014, Numar persoane, 2409
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mures, Anul 2015, Numar persoane, 2290
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mures, Anul 2016, Numar persoane, 2186
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mures, Anul 2017, Numar persoane, 2269
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Sibiu, Anul 2013, Numar persoane, 1764
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Sibiu, Anul 2014, Numar persoane, 1729
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Sibiu, Anul 2015, Numar persoane, 1697
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Sibiu, Anul 2016, Numar persoane, 1650
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Sibiu, Anul 2017, Numar persoane, 1657
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bacau, Anul 2013, Numar persoane, 3225
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bacau, Anul 2014, Numar persoane, 3215
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bacau, Anul 2015, Numar persoane, 3048
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bacau, Anul 2016, Numar persoane, 2908
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Bacau, Anul 2017, Numar persoane, 2860
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Botosani, Anul 2013, Numar persoane, 2373
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Botosani, Anul 2014, Numar persoane, 2482
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Botosani, Anul 2015, Numar persoane, 2458
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Botosani, Anul 2016, Numar persoane, 2298
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Botosani, Anul 2017, Numar persoane, 2253
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Iasi, Anul 2013, Numar persoane, 4057
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Iasi, Anul 2014, Numar persoane, 4255
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Iasi, Anul 2015, Numar persoane, 4071
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Iasi, Anul 2016, Numar persoane, 3944
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Iasi, Anul 2017, Numar persoane, 3836
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Neamt, Anul 2013, Numar persoane, 2499
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Neamt, Anul 2014, Numar persoane, 2541
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Neamt, Anul 2015, Numar persoane, 2214
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Neamt, Anul 2016, Numar persoane, 2170
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Neamt, Anul 2017, Numar persoane, 2207
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Suceava, Anul 2013, Numar persoane, 3677
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Suceava, Anul 2014, Numar persoane, 3841
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Suceava, Anul 2015, Numar persoane, 3756
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Suceava, Anul 2016, Numar persoane, 3510
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Suceava, Anul 2017, Numar persoane, 3380
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vaslui, Anul 2013, Numar persoane, 2379
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vaslui, Anul 2014, Numar persoane, 2480
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vaslui, Anul 2015, Numar persoane, 2267
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vaslui, Anul 2016, Numar persoane, 2270
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vaslui, Anul 2017, Numar persoane, 2028
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Braila, Anul 2013, Numar persoane, 1372
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Braila, Anul 2014, Numar persoane, 1354
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Braila, Anul 2015, Numar persoane, 1344
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Braila, Anul 2016, Numar persoane, 1299
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Braila, Anul 2017, Numar persoane, 1315
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Buzau, Anul 2013, Numar persoane, 1995
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Buzau, Anul 2014, Numar persoane, 2054
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Buzau, Anul 2015, Numar persoane, 1902
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Buzau, Anul 2016, Numar persoane, 1812
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Buzau, Anul 2017, Numar persoane, 1868
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Constanta, Anul 2013, Numar persoane, 2996
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Constanta, Anul 2014, Numar persoane, 3043
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Constanta, Anul 2015, Numar persoane, 3005
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Constanta, Anul 2016, Numar persoane, 2853
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Constanta, Anul 2017, Numar persoane, 2916
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Galati, Anul 2013, Numar persoane, 2545
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Galati, Anul 2014, Numar persoane, 2684
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Galati, Anul 2015, Numar persoane, 2448
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Galati, Anul 2016, Numar persoane, 2301
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Galati, Anul 2017, Numar persoane, 2317
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Tulcea, Anul 2013, Numar persoane, 993
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Tulcea, Anul 2014, Numar persoane, 993
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Tulcea, Anul 2015, Numar persoane, 973
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Tulcea, Anul 2016, Numar persoane, 882
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Tulcea, Anul 2017, Numar persoane, 884
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vrancea, Anul 2013, Numar persoane, 1570
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vrancea, Anul 2014, Numar persoane, 1601
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vrancea, Anul 2015, Numar persoane, 1443
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vrancea, Anul 2016, Numar persoane, 1428
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Vrancea, Anul 2017, Numar persoane, 1454
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Arges, Anul 2013, Numar persoane, 2831
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Arges, Anul 2014, Numar persoane, 2708
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Arges, Anul 2015, Numar persoane, 2669
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Arges, Anul 2016, Numar persoane, 2496
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Arges, Anul 2017, Numar persoane, 2592
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Calarasi, Anul 2013, Numar persoane, 1360
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Calarasi, Anul 2014, Numar persoane, 1357
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Calarasi, Anul 2015, Numar persoane, 1315
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Calarasi, Anul 2016, Numar persoane, 1335
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Calarasi, Anul 2017, Numar persoane, 1194
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dambovita, Anul 2013, Numar persoane, 2335
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dambovita, Anul 2014, Numar persoane, 2426
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dambovita, Anul 2015, Numar persoane, 2325
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dambovita, Anul 2016, Numar persoane, 2074
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dambovita, Anul 2017, Numar persoane, 2115
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Giurgiu, Anul 2013, Numar persoane, 1247
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Giurgiu, Anul 2014, Numar persoane, 1177
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Giurgiu, Anul 2015, Numar persoane, 1219
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Giurgiu, Anul 2016, Numar persoane, 1150
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Giurgiu, Anul 2017, Numar persoane, 1100
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ialomita, Anul 2013, Numar persoane, 1271
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ialomita, Anul 2014, Numar persoane, 1261
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ialomita, Anul 2015, Numar persoane, 1158
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ialomita, Anul 2016, Numar persoane, 1100
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ialomita, Anul 2017, Numar persoane, 1020
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Prahova, Anul 2013, Numar persoane, 3117
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Prahova, Anul 2014, Numar persoane, 3324
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Prahova, Anul 2015, Numar persoane, 3211
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Prahova, Anul 2016, Numar persoane, 3144
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Prahova, Anul 2017, Numar persoane, 3005
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Teleorman, Anul 2013, Numar persoane, 1508
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Teleorman, Anul 2014, Numar persoane, 1453
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Teleorman, Anul 2015, Numar persoane, 1353
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Teleorman, Anul 2016, Numar persoane, 1287
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Teleorman, Anul 2017, Numar persoane, 1258
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ilfov, Anul 2013, Numar persoane, 1309
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ilfov, Anul 2014, Numar persoane, 1366
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ilfov, Anul 2015, Numar persoane, 1337
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ilfov, Anul 2016, Numar persoane, 1285
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Ilfov, Anul 2017, Numar persoane, 1297
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dolj, Anul 2013, Numar persoane, 2656
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dolj, Anul 2014, Numar persoane, 2747
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dolj, Anul 2015, Numar persoane, 2430
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dolj, Anul 2016, Numar persoane, 2307
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Dolj, Anul 2017, Numar persoane, 2280
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Gorj, Anul 2013, Numar persoane, 1857
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Gorj, Anul 2014, Numar persoane, 1799
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Gorj, Anul 2015, Numar persoane, 1673
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Gorj, Anul 2016, Numar persoane, 1597
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Gorj, Anul 2017, Numar persoane, 1626
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mehedinti, Anul 2013, Numar persoane, 1102
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mehedinti, Anul 2014, Numar persoane, 1136
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mehedinti, Anul 2015, Numar persoane, 1101
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mehedinti, Anul 2016, Numar persoane, 1000
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Mehedinti, Anul 2017, Numar persoane, 1020
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Olt, Anul 2013, Numar persoane, 2084
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Olt, Anul 2014, Numar persoane, 2001
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Olt, Anul 2015, Numar persoane, 1876
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Olt, Anul 2016, Numar persoane, 1661
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Olt, Anul 2017, Numar persoane, 1795
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Valcea, Anul 2013, Numar persoane, 1750
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Valcea, Anul 2014, Numar persoane, 1670
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Valcea, Anul 2015, Numar persoane, 1690
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Valcea, Anul 2016, Numar persoane, 1615
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Valcea, Anul 2017, Numar persoane, 1512
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Regiunea VEST, Anul 2013, Numar persoane, 7574
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Regiunea VEST, Anul 2014, Numar persoane, 7506
Invatamant gimnazial - clasele V-VIII secundar ciclul 1, Feminin, Regiunea VEST, Anul 2015, Numar persoane, 7254
